"O*NET-SOC Code","Title","Description"
"15-1252.00","Software Developers","Research, design, and develop computer and network software or specialized utility programs. Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis."
"15-1254.00","Web Developers","Develop and implement websites, web applications, application databases, and interactive web interfaces. Evaluate code to ensure that it is valid, properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems."
"15-1255.00","Web and Digital Interface Designers","Design digital user interfaces or websites. Develop and test layouts, interfaces, functionality, and navigation menus to ensure compatibility and usability across varied platforms and devices."
"15-1251.00","Computer Programmers","Create, modify, and test the code and scripts that allow computer applications or programs to function properly. Work from specifications drawn up by software developers or other individuals."
"15-1243.00","Database Architects","Design strategies for enterprise database systems and set standards for operations, programming, and security. Design and construct large relational databases. Integrate new systems with existing warehouse applications."
"15-1244.00","Network and Computer Systems Administrators","Install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet systems or a segment of a network system."
"15-1241.00","Computer Network Architects","Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks."
"15-1212.00","Information Security Analysts","Plan, implement, upgrade, or monitor security measures for the protection of computer networks and information. Assess system vulnerabilities for security risks and propose and implement risk mitigation strategies."
"15-2051.00","Data Scientists","Develop and implement algorithms, statistical models, and computer software to analyze datasets. Apply data science techniques to discover patterns and extract actionable business insights."
"15-2051.01","Business Intelligence Analysts","Produce financial and market intelligence by querying data repositories and generating periodic reports. Devise methods for identifying data patterns and trends in available information sources."
"15-1299.08","Computer Systems Engineers/Architects","Design and develop solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions."
"15-1299.09","Information Technology Project Managers","Plan, initiate, and manage information technology (IT) projects. Lead and guide the work of technical staff. Serve as liaison between business and technical aspects of projects."
