"O*NET-SOC Code","Title","Example","Commodity Code","Commodity Title","Hot Technology","In Demand"
"15-1252.00","Software Developers","Python","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","JavaScript","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","TypeScript","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","React","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","Node.js","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","Go (Golang)","43232408","Development software","Y","N"
"15-1252.00","Software Developers","Docker","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","Kubernetes","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","PostgreSQL","43232304","Database management system software","Y","Y"
"15-1252.00","Software Developers","Amazon Web Services (AWS)","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","Git","43232408","Development software","Y","Y"
"15-1252.00","Software Developers","RESTful APIs","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","JavaScript","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","TypeScript","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","React","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","HTML5","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","CSS3","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","Tailwind CSS","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","Node.js","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","Next.js","43232408","Development software","Y","Y"
"15-1254.00","Web Developers","GraphQL","43232408","Development software","Y","N"
"15-1243.00","Database Architects","PostgreSQL","43232304","Database management system software","Y","Y"
"15-1243.00","Database Architects","MySQL","43232304","Database management system software","Y","Y"
"15-1243.00","Database Architects","MongoDB","43232304","Database management system software","Y","Y"
"15-1243.00","Database Architects","Redis","43232304","Database management system software","Y","Y"
"15-1243.00","Database Architects","SQL Query Optimization","43232304","Database management system software","Y","Y"
"15-1243.00","Database Architects","Data Warehousing","43232304","Database management system software","Y","Y"
"15-2051.00","Data Scientists","Python","43232408","Development software","Y","Y"
"15-2051.00","Data Scientists","R Programming","43232408","Development software","Y","N"
"15-2051.00","Data Scientists","TensorFlow","43232408","Development software","Y","Y"
"15-2051.00","Data Scientists","PyTorch","43232408","Development software","Y","Y"
"15-2051.00","Data Scientists","Machine Learning","43232408","Development software","Y","Y"
"15-2051.00","Data Scientists","Pandas","43232408","Development software","Y","Y"
"15-2051.00","Data Scientists","Scikit-learn","43232408","Development software","Y","Y"
"15-1212.00","Information Security Analysts","Penetration Testing","43233202","Security software","Y","Y"
"15-1212.00","Information Security Analysts","Wireshark","43233202","Security software","Y","Y"
"15-1212.00","Information Security Analysts","Vulnerability Assessment","43233202","Security software","Y","Y"
"15-1212.00","Information Security Analysts","Network Security","43233202","Security software","Y","Y"
"15-1212.00","Information Security Analysts","Cryptography","43233202","Security software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","Kubernetes","43232408","Development software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","Docker","43232408","Development software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","Terraform","43232408","Development software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","AWS","43232408","Development software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","CI/CD Pipelines","43232408","Development software","Y","Y"
"15-1299.08","Computer Systems Engineers/Architects","Linux System Administration","43232408","Development software","Y","Y"
"15-1255.00","Web and Digital Interface Designers","Figma","43232408","Graphics or photo imaging software","Y","Y"
"15-1255.00","Web and Digital Interface Designers","Adobe XD","43232408","Graphics or photo imaging software","Y","N"
"15-1255.00","Web and Digital Interface Designers","UI/UX Prototyping","43232408","Graphics or photo imaging software","Y","Y"
"15-1255.00","Web and Digital Interface Designers","HTML5/CSS3","43232408","Development software","Y","Y"
"15-1255.00","Web and Digital Interface Designers","User Research","43232408","Development software","Y","Y"
"15-1251.00","Computer Programmers","Java","43232408","Development software","Y","Y"
"15-1251.00","Computer Programmers","C++","43232408","Development software","Y","Y"
"15-1251.00","Computer Programmers","SQL","43232304","Database management system software","Y","Y"
"15-1251.00","Computer Programmers","Git","43232408","Development software","Y","Y"
"15-1244.00","Network and Computer Systems Administrators","Linux Administration","43233004","Operating system software","Y","Y"
"15-1244.00","Network and Computer Systems Administrators","Bash Shell Scripting","43232408","Development software","Y","Y"
"15-1244.00","Network and Computer Systems Administrators","Active Directory","43233004","Operating system software","Y","Y"
"15-1244.00","Network and Computer Systems Administrators","TCP/IP Networking","43233202","Communications software","Y","Y"
"15-1241.00","Computer Network Architects","Cisco IOS","43233202","Communications software","Y","Y"
"15-1241.00","Computer Network Architects","BGP / Routing Protocols","43233202","Communications software","Y","Y"
"15-1241.00","Computer Network Architects","VPN Architecture","43233202","Communications software","Y","Y"
"15-1241.00","Computer Network Architects","Network Security Architecture","43233202","Security software","Y","Y"
"15-2051.01","Business Intelligence Analysts","Power BI","43232304","Data base user interface and query software","Y","Y"
"15-2051.01","Business Intelligence Analysts","Tableau","43232304","Data base user interface and query software","Y","Y"
"15-2051.01","Business Intelligence Analysts","SQL Querying","43232304","Data base user interface and query software","Y","Y"
"15-2051.01","Business Intelligence Analysts","Data Modeling","43232304","Data base management system software","Y","Y"
"15-1299.09","Information Technology Project Managers","Jira","43232201","Project management software","Y","Y"
"15-1299.09","Information Technology Project Managers","Agile / Scrum","43232201","Project management software","Y","Y"
"15-1299.09","Information Technology Project Managers","Risk Management","43232201","Project management software","Y","Y"
"15-1299.09","Information Technology Project Managers","Confluence","43232201","Project management software","Y","Y"

